["e26dbf036cc3b8d94b298b011125d90e","2020-01-06 00:03:27"]
["3a01682d1641b4db56844ba7fea04797","2020-01-06 00:26:09"]
["3a01682d1641b4db56844ba7fea04797","2020-01-06 00:26:09"]
["f6dd90f0d9befa715b4896e80cdcb480","2020-01-06 01:06:29"]
["48aef998fc0b9cb37ca57a6b497c8ba9","2020-01-06 01:06:29"]
["99f22434d9b421953bb7c4680c49624d","2020-01-06 09:35:31"]
["a3f37ef2b7304e9bf2866fec346db311","2020-01-06 11:06:14"]
["db78b6177369042a75e2ce4420129523","2020-01-06 11:06:15"]
["0a58e4ec6ff38ce75a58f62a1d6a67f2","2020-01-06 11:46:31"]
["269ee14cc35b0a6821da2e593b1a4760","2020-01-06 13:03:04"]
["269ee14cc35b0a6821da2e593b1a4760","2020-01-06 13:03:24"]
["269ee14cc35b0a6821da2e593b1a4760","2020-01-06 13:03:25"]
["269ee14cc35b0a6821da2e593b1a4760","2020-01-06 13:05:55"]
["269ee14cc35b0a6821da2e593b1a4760","2020-01-06 13:05:56"]
["269ee14cc35b0a6821da2e593b1a4760","2020-01-06 13:05:56"]
["269ee14cc35b0a6821da2e593b1a4760","2020-01-06 13:06:22"]
["269ee14cc35b0a6821da2e593b1a4760","2020-01-06 13:06:23"]
["269ee14cc35b0a6821da2e593b1a4760","2020-01-06 13:06:23"]
["269ee14cc35b0a6821da2e593b1a4760","2020-01-06 13:06:29"]
["269ee14cc35b0a6821da2e593b1a4760","2020-01-06 13:06:31"]
["269ee14cc35b0a6821da2e593b1a4760","2020-01-06 13:06:39"]
["269ee14cc35b0a6821da2e593b1a4760","2020-01-06 13:07:00"]
["269ee14cc35b0a6821da2e593b1a4760","2020-01-06 13:07:01"]
["269ee14cc35b0a6821da2e593b1a4760","2020-01-06 13:07:27"]
["269ee14cc35b0a6821da2e593b1a4760","2020-01-06 13:07:28"]
["269ee14cc35b0a6821da2e593b1a4760","2020-01-06 13:07:42"]
["269ee14cc35b0a6821da2e593b1a4760","2020-01-06 13:08:28"]
["269ee14cc35b0a6821da2e593b1a4760","2020-01-06 13:08:28"]
["269ee14cc35b0a6821da2e593b1a4760","2020-01-06 13:08:38"]
["269ee14cc35b0a6821da2e593b1a4760","2020-01-06 13:08:41"]
["269ee14cc35b0a6821da2e593b1a4760","2020-01-06 13:08:42"]
["269ee14cc35b0a6821da2e593b1a4760","2020-01-06 13:08:44"]
["4b6e3cae90b582ae5024f4c20f21c82e","2020-01-06 16:34:47"]
["f1d1a6764f4ed27fc57468b2ec5d9dd2","2020-01-06 18:02:26"]
["02ed479acc8744e0273b3164005f848a","2020-01-06 21:07:48"]
["3ea30b8106bb9c92aee4f4348dc7d60b","2020-01-06 21:07:48"]
["3ea30b8106bb9c92aee4f4348dc7d60b","2020-01-06 21:07:48"]
["3530827e6637fae81b8d63d50b511e38","2020-01-06 21:07:48"]
