["47f81a776001a710d70c7548458c576f","2020-01-16 00:56:40"]
["9f359237b18b8139aeb39abeafd00e29","2020-01-16 02:11:56"]
["27e5d0e0f3a79451e302b97c1a7aaac1","2020-01-16 02:11:56"]
["8c4c8f0779cf725ac13f288fc82a3cf7","2020-01-16 02:11:56"]
["27e5d0e0f3a79451e302b97c1a7aaac1","2020-01-16 02:11:56"]
["db70ede650ab726708fd269a998a1cf6","2020-01-16 06:02:00"]
["754eaa12e91467937c99a6b7926887cc","2020-01-16 07:22:51"]
["db70ede650ab726708fd269a998a1cf6","2020-01-16 10:16:08"]
["db70ede650ab726708fd269a998a1cf6","2020-01-16 11:40:37"]
["779d52a49af9c37ebb780da1f8b328e5","2020-01-16 12:31:16"]
["779d52a49af9c37ebb780da1f8b328e5","2020-01-16 12:31:20"]
["779d52a49af9c37ebb780da1f8b328e5","2020-01-16 12:31:20"]
["779d52a49af9c37ebb780da1f8b328e5","2020-01-16 12:31:42"]
["779d52a49af9c37ebb780da1f8b328e5","2020-01-16 12:31:43"]
["779d52a49af9c37ebb780da1f8b328e5","2020-01-16 12:31:50"]
["779d52a49af9c37ebb780da1f8b328e5","2020-01-16 12:31:51"]
["4cda4275c7d5ded1f704eaeee6928a22","2020-01-16 12:37:24"]
["4cda4275c7d5ded1f704eaeee6928a22","2020-01-16 12:37:25"]
["4cda4275c7d5ded1f704eaeee6928a22","2020-01-16 12:37:25"]
["4cda4275c7d5ded1f704eaeee6928a22","2020-01-16 12:37:28"]
["4cda4275c7d5ded1f704eaeee6928a22","2020-01-16 12:37:29"]
["4cda4275c7d5ded1f704eaeee6928a22","2020-01-16 12:37:36"]
["4cda4275c7d5ded1f704eaeee6928a22","2020-01-16 12:37:46"]
["4cda4275c7d5ded1f704eaeee6928a22","2020-01-16 12:37:54"]
["4cda4275c7d5ded1f704eaeee6928a22","2020-01-16 12:38:25"]
["4cda4275c7d5ded1f704eaeee6928a22","2020-01-16 12:38:26"]
["4cda4275c7d5ded1f704eaeee6928a22","2020-01-16 12:38:26"]
["4cda4275c7d5ded1f704eaeee6928a22","2020-01-16 12:56:47"]
["4cda4275c7d5ded1f704eaeee6928a22","2020-01-16 12:56:47"]
["a4ff6852eaa14d4a265a39de849e0ec7","2020-01-16 14:56:17"]
["a4ff6852eaa14d4a265a39de849e0ec7","2020-01-16 14:56:24"]
["a4ff6852eaa14d4a265a39de849e0ec7","2020-01-16 14:56:37"]
["a4ff6852eaa14d4a265a39de849e0ec7","2020-01-16 14:56:38"]
["a4ff6852eaa14d4a265a39de849e0ec7","2020-01-16 14:56:39"]
["a4ff6852eaa14d4a265a39de849e0ec7","2020-01-16 14:56:39"]
["a4ff6852eaa14d4a265a39de849e0ec7","2020-01-16 14:57:02"]
["a4ff6852eaa14d4a265a39de849e0ec7","2020-01-16 14:57:03"]
["a4ff6852eaa14d4a265a39de849e0ec7","2020-01-16 14:57:08"]
["a4ff6852eaa14d4a265a39de849e0ec7","2020-01-16 14:57:09"]
["a4ff6852eaa14d4a265a39de849e0ec7","2020-01-16 15:04:33"]
["a4ff6852eaa14d4a265a39de849e0ec7","2020-01-16 15:04:33"]
["a4ff6852eaa14d4a265a39de849e0ec7","2020-01-16 15:13:38"]
["a4ff6852eaa14d4a265a39de849e0ec7","2020-01-16 15:13:43"]
["5fdde4eb9c0c364da4be3b0ed30d8502","2020-01-16 15:44:32"]
["5fdde4eb9c0c364da4be3b0ed30d8502","2020-01-16 15:44:33"]
["5fdde4eb9c0c364da4be3b0ed30d8502","2020-01-16 15:44:43"]
["5fdde4eb9c0c364da4be3b0ed30d8502","2020-01-16 15:44:46"]
["5fdde4eb9c0c364da4be3b0ed30d8502","2020-01-16 15:46:05"]
["5fdde4eb9c0c364da4be3b0ed30d8502","2020-01-16 15:46:05"]
["db70ede650ab726708fd269a998a1cf6","2020-01-16 17:21:20"]
["6abc17e2811e35c16a9b2a87596ad93d","2020-01-16 18:00:13"]
["bc89c3c507e083fd8565edbfe9fa84a4","2020-01-16 18:00:13"]
["0d59af1734a562daa57a3b4a3b66f191","2020-01-16 18:00:13"]
["da3269368f37ba88353c3e210c18dea2","2020-01-16 18:00:13"]
["a4ff6852eaa14d4a265a39de849e0ec7","2020-01-16 18:21:13"]
["a4ff6852eaa14d4a265a39de849e0ec7","2020-01-16 18:21:16"]
["d38e3dc02b1e6bce40619888d1c18e84","2020-01-16 19:47:23"]
["d38e3dc02b1e6bce40619888d1c18e84","2020-01-16 19:47:26"]
["d38e3dc02b1e6bce40619888d1c18e84","2020-01-16 19:47:26"]
["d38e3dc02b1e6bce40619888d1c18e84","2020-01-16 19:47:30"]
["d38e3dc02b1e6bce40619888d1c18e84","2020-01-16 19:47:30"]
["d38e3dc02b1e6bce40619888d1c18e84","2020-01-16 19:47:46"]
["d38e3dc02b1e6bce40619888d1c18e84","2020-01-16 19:47:48"]
["d38e3dc02b1e6bce40619888d1c18e84","2020-01-16 20:50:23"]
["d38e3dc02b1e6bce40619888d1c18e84","2020-01-16 20:50:24"]
["0a26e611a45cdcb77cda280f9bc34e85","2020-01-16 22:20:42"]
["8c130237b8468434129932656c1c65de","2020-01-16 22:45:12"]
["db78b6177369042a75e2ce4420129523","2020-01-16 22:45:14"]
["593c2971a6099b4d6fab6d326c3bd2b8","2020-01-16 23:44:46"]
